Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.583 | 4.551 | 0.001000 | 9.899 | 89.088
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.960 | 3.962 | 0.001000 | 18.991 | 151.926
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.874 | 3.880 | 0.001000 | 28.105 | 196.732
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.866 | 3.834 | 0.001000 | 37.207 | 223.242
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.810 | 3.785 | 0.001000 | 46.321 | 231.603
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.793 | 3.823 | 0.001000 | 55.434 | 221.738
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.853 | 3.803 | 0.001000 | 64.549 | 193.648
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.867 | 3.794 | 0.001000 | 73.672 | 147.344
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.864 | 3.855 | 0.001000 | 82.807 | 82.807
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.194 | 6.197 | 0.001000 | 0.804 | 8.045
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.409 | 4.377 | 0.001000 | 10.046 | 90.410
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.980 | 3.995 | 0.001000 | 19.274 | 154.195
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.943 | 3.850 | 0.001000 | 28.487 | 199.406
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.911 | 3.874 | 0.001000 | 37.714 | 226.284
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.837 | 3.820 | 0.001000 | 46.920 | 234.598
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.823 | 3.810 | 0.001000 | 56.122 | 224.487
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.858 | 3.815 | 0.001000 | 65.340 | 196.020
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 4.045 | 4.020 | 0.001000 | 74.573 | 149.147
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.941 | 3.839 | 0.001000 | 83.795 | 83.795
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.198 | 6.197 | 0.001000 | 0.773 | 7.731
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.542 | 4.616 | 0.001000 | 10.079 | 90.708
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.075 | 3.981 | 0.001000 | 19.276 | 154.206
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.869 | 3.903 | 0.001000 | 28.491 | 199.437
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.987 | 3.880 | 0.001000 | 37.691 | 226.147
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.927 | 3.909 | 0.001000 | 46.910 | 234.549
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.861 | 3.834 | 0.001000 | 56.126 | 224.504
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.814 | 3.845 | 0.001000 | 65.337 | 196.012
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.855 | 3.808 | 0.001000 | 74.563 | 149.126
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.829 | 3.844 | 0.001000 | 83.796 | 83.796
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.210 | 6.210 | 0.001000 | 0.833 | 8.329
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.417 | 4.493 | 0.001000 | 10.137 | 91.234
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.885 | 3.906 | 0.001000 | 19.283 | 154.264
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.891 | 3.819 | 0.001000 | 28.582 | 200.072
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.845 | 3.827 | 0.001000 | 38.017 | 228.099
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.876 | 3.806 | 0.001000 | 47.412 | 237.062
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.903 | 3.885 | 0.001000 | 56.843 | 227.371
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.828 | 3.869 | 0.001000 | 66.105 | 198.316
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.867 | 3.851 | 0.001000 | 75.221 | 150.443
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.805 | 3.797 | 0.001000 | 84.288 | 84.288
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.184 | 6.187 | 0.001000 | 0.817 | 8.171
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.464 | 4.368 | 0.001000 | 10.297 | 92.669
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.950 | 3.963 | 0.001000 | 19.765 | 158.117
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.901 | 3.822 | 0.001000 | 29.292 | 205.043
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.836 | 3.806 | 0.001000 | 38.830 | 232.982
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.888 | 3.824 | 0.001000 | 48.378 | 241.888
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.822 | 3.809 | 0.001000 | 57.842 | 231.369
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.876 | 3.854 | 0.001000 | 67.307 | 201.920
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 4.052 | 4.077 | 0.001000 | 76.757 | 153.514
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.848 | 3.808 | 0.001000 | 86.208 | 86.208
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.195 | 6.198 | 0.001000 | 0.789 | 7.889
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.402 | 4.457 | 0.001000 | 9.970 | 89.733
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.072 | 4.044 | 0.001000 | 19.148 | 153.188
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.952 | 3.940 | 0.001000 | 28.319 | 198.235
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 4.349 | 4.265 | 0.001000 | 37.481 | 224.887
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.873 | 3.888 | 0.001000 | 46.675 | 233.377
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.867 | 3.879 | 0.001000 | 55.876 | 223.502
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.866 | 3.834 | 0.001000 | 65.078 | 195.235
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.967 | 3.869 | 0.001000 | 74.303 | 148.607
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.958 | 3.826 | 0.001000 | 83.736 | 83.736
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.230 | 6.224 | 0.001000 | 0.782 | 7.815
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.545 | 4.640 | 0.001000 | 10.104 | 90.932
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.007 | 4.013 | 0.001000 | 19.398 | 155.182
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.958 | 3.942 | 0.001000 | 28.768 | 201.377
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.878 | 3.901 | 0.001000 | 38.127 | 228.759
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.867 | 3.813 | 0.001000 | 47.510 | 237.550
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.926 | 3.888 | 0.001000 | 56.879 | 227.516
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.886 | 3.846 | 0.001000 | 66.216 | 198.649
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.864 | 3.825 | 0.001000 | 75.655 | 151.310
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.815 | 3.828 | 0.001000 | 85.064 | 85.064
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.227 | 6.226 | 0.001000 | 0.792 | 7.925
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.509 | 4.488 | 0.001000 | 10.158 | 91.418
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.891 | 3.910 | 0.001000 | 19.713 | 157.702
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.876 | 3.986 | 0.001000 | 29.184 | 204.286
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.809 | 3.814 | 0.001000 | 38.526 | 231.156
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.869 | 3.839 | 0.001000 | 47.848 | 239.240
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.849 | 3.824 | 0.001000 | 57.207 | 228.830
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.837 | 3.796 | 0.001000 | 66.485 | 199.456
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.782 | 3.813 | 0.001000 | 75.771 | 151.542
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.802 | 3.811 | 0.001000 | 85.127 | 85.127
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.218 | 6.215 | 0.001000 | 0.807 | 8.072
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.819 | 4.753 | 0.001000 | 10.102 | 90.921
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.989 | 3.965 | 0.001000 | 19.386 | 155.088
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.978 | 3.893 | 0.001000 | 28.670 | 200.690
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.866 | 3.892 | 0.001000 | 37.968 | 227.808
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.851 | 3.813 | 0.001000 | 47.250 | 236.250
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.795 | 3.853 | 0.001000 | 56.547 | 226.186
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.834 | 3.820 | 0.001000 | 65.924 | 197.771
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.817 | 3.843 | 0.001000 | 75.283 | 150.565
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.864 | 3.851 | 0.001000 | 84.715 | 84.715
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.226 | 6.225 | 0.001000 | 0.766 | 7.658
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.703 | 4.660 | 0.001000 | 10.050 | 90.454
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.989 | 3.922 | 0.001000 | 19.303 | 154.426
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.845 | 3.866 | 0.001000 | 28.454 | 199.178
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.842 | 3.849 | 0.001000 | 37.605 | 225.630
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.807 | 3.797 | 0.001000 | 46.766 | 233.830
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.876 | 3.824 | 0.001000 | 55.916 | 223.662
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.855 | 3.800 | 0.001000 | 65.089 | 195.268
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.852 | 3.826 | 0.001000 | 74.346 | 148.693
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.849 | 3.795 | 0.001000 | 83.623 | 83.623
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.203 | 6.200 | 0.001000 | 0.794 | 7.936
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.618 | 4.604 | 0.001000 | 9.988 | 89.890
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.962 | 3.966 | 0.001000 | 19.142 | 153.135
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.900 | 3.870 | 0.001000 | 28.310 | 198.167
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.888 | 3.853 | 0.001000 | 37.495 | 224.970
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.842 | 3.802 | 0.001000 | 46.675 | 233.373
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.848 | 3.802 | 0.001000 | 55.852 | 223.406
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.843 | 3.804 | 0.001000 | 65.090 | 195.269
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.841 | 3.798 | 0.001000 | 74.305 | 148.611
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.862 | 3.860 | 0.001000 | 83.583 | 83.583
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.234 | 6.234 | 0.001000 | 0.774 | 7.741
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.850 | 4.794 | 0.001000 | 10.089 | 90.805
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.026 | 3.967 | 0.001000 | 19.367 | 154.934
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.940 | 3.892 | 0.001000 | 28.631 | 200.417
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.832 | 3.842 | 0.001000 | 37.951 | 227.703
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.821 | 3.815 | 0.001000 | 47.276 | 236.380
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.823 | 3.848 | 0.001000 | 56.552 | 226.208
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.839 | 3.813 | 0.001000 | 65.863 | 197.588
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.823 | 3.810 | 0.001000 | 75.153 | 150.306
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.831 | 3.796 | 0.001000 | 84.456 | 84.456
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.171 | 6.166 | 0.001000 | 0.801 | 8.007
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.550 | 4.434 | 0.001000 | 10.087 | 90.781
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.939 | 3.959 | 0.001000 | 19.346 | 154.769
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.882 | 3.974 | 0.001000 | 28.614 | 200.300
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.927 | 3.915 | 0.001000 | 37.885 | 227.307
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.846 | 3.833 | 0.001000 | 47.149 | 235.744
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.847 | 3.895 | 0.001000 | 56.423 | 225.693
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.870 | 3.818 | 0.001000 | 65.732 | 197.195
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.827 | 3.832 | 0.001000 | 75.059 | 150.119
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.832 | 3.801 | 0.001000 | 84.387 | 84.387
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.211 | 6.213 | 0.001000 | 0.817 | 8.169
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.475 | 4.417 | 0.001000 | 10.169 | 91.518
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.146 | 4.078 | 0.001000 | 19.456 | 155.646
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.903 | 3.900 | 0.001000 | 28.740 | 201.183
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.855 | 3.823 | 0.001000 | 38.036 | 228.216
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.930 | 3.884 | 0.001000 | 47.331 | 236.653
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.811 | 3.792 | 0.001000 | 56.642 | 226.567
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.878 | 3.821 | 0.001000 | 65.970 | 197.910
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.814 | 3.735 | 0.001000 | 75.300 | 150.600
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.827 | 3.829 | 0.001000 | 84.622 | 84.622
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.222 | 6.222 | 0.001000 | 0.782 | 7.820
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.469 | 4.324 | 0.001000 | 10.098 | 90.880
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.016 | 3.993 | 0.001000 | 19.419 | 155.356
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.955 | 3.900 | 0.001000 | 28.714 | 201.000
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.928 | 3.857 | 0.001000 | 38.074 | 228.443
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.848 | 3.823 | 0.001000 | 47.418 | 237.088
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.870 | 3.892 | 0.001000 | 56.739 | 226.955
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.832 | 3.832 | 0.001000 | 66.136 | 198.409
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.817 | 3.814 | 0.001000 | 75.491 | 150.983
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.787 | 3.798 | 0.001000 | 84.779 | 84.779
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.219 | 6.217 | 0.001000 | 0.775 | 7.751
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.533 | 4.479 | 0.001000 | 10.025 | 90.221
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.950 | 3.917 | 0.001000 | 19.254 | 154.034
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.826 | 3.868 | 0.001000 | 28.473 | 199.311
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.879 | 3.787 | 0.001000 | 37.690 | 226.142
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.813 | 3.805 | 0.001000 | 46.927 | 234.633
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.840 | 3.751 | 0.001000 | 56.144 | 224.577
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.879 | 3.842 | 0.001000 | 65.387 | 196.160
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.886 | 3.877 | 0.001000 | 74.627 | 149.253
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.886 | 3.893 | 0.001000 | 83.877 | 83.877
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.250 | 6.250 | 0.001000 | 0.794 | 7.937
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.905 | 4.901 | 0.001000 | 9.999 | 89.988
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.144 | 4.070 | 0.001000 | 19.191 | 153.532
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.992 | 4.018 | 0.001000 | 28.409 | 198.866
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.896 | 3.853 | 0.001000 | 37.621 | 225.724
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.878 | 3.871 | 0.001000 | 46.825 | 234.126
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.851 | 3.867 | 0.001000 | 56.028 | 224.112
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.838 | 3.795 | 0.001000 | 65.250 | 195.751
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.853 | 3.807 | 0.001000 | 74.462 | 148.925
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.853 | 3.819 | 0.001000 | 83.684 | 83.684
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.195 | 6.197 | 0.001000 | 0.808 | 8.078
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.380 | 4.389 | 0.001000 | 9.988 | 89.896
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.904 | 3.887 | 0.001000 | 19.135 | 153.077
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.873 | 3.829 | 0.001000 | 28.308 | 198.159
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.846 | 3.789 | 0.001000 | 37.482 | 224.890
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.840 | 3.840 | 0.001000 | 46.653 | 233.265
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.877 | 3.840 | 0.001000 | 55.827 | 223.309
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.886 | 3.813 | 0.001000 | 65.003 | 195.010
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.832 | 3.814 | 0.001000 | 74.188 | 148.376
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.879 | 3.820 | 0.001000 | 83.375 | 83.375
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.213 | 6.213 | 0.001000 | 0.791 | 7.914
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.476 | 4.424 | 0.001000 | 9.995 | 89.953
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 4.389 | 4.281 | 0.001000 | 19.191 | 153.531
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 4.198 | 4.187 | 0.001000 | 28.376 | 198.630
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 4.245 | 4.130 | 0.001000 | 37.561 | 225.364
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.925 | 3.961 | 0.001000 | 46.747 | 233.735
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.900 | 3.827 | 0.001000 | 55.931 | 223.722
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.857 | 3.803 | 0.001000 | 65.112 | 195.335
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.854 | 3.825 | 0.001000 | 74.308 | 148.615
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.880 | 3.827 | 0.001000 | 83.515 | 83.515
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.174 | 6.176 | 0.001000 | 0.777 | 7.770
Epoch | Train Loss | Val Loss | LR | Time | ETA
10 | 4.538 | 4.495 | 0.001000 | 9.906 | 89.158
Epoch | Train Loss | Val Loss | LR | Time | ETA
20 | 3.947 | 4.013 | 0.001000 | 18.985 | 151.883
Epoch | Train Loss | Val Loss | LR | Time | ETA
30 | 3.925 | 3.871 | 0.001000 | 28.037 | 196.260
Epoch | Train Loss | Val Loss | LR | Time | ETA
40 | 3.864 | 3.850 | 0.001000 | 37.105 | 222.633
Epoch | Train Loss | Val Loss | LR | Time | ETA
50 | 3.901 | 3.843 | 0.001000 | 46.174 | 230.870
Epoch | Train Loss | Val Loss | LR | Time | ETA
60 | 3.850 | 3.815 | 0.001000 | 55.222 | 220.887
Epoch | Train Loss | Val Loss | LR | Time | ETA
70 | 3.860 | 3.852 | 0.001000 | 64.282 | 192.846
Epoch | Train Loss | Val Loss | LR | Time | ETA
80 | 3.813 | 3.824 | 0.001000 | 73.349 | 146.697
Epoch | Train Loss | Val Loss | LR | Time | ETA
90 | 3.834 | 3.798 | 0.001000 | 82.416 | 82.416
Epoch | Train Loss | Val Loss | LR | Time | ETA
0 | 6.204 | 6.204 | 0.001000 | 0.789 | 7.893
Epoch | Train Loss | Val Loss | LR | Time | ETA
